length,deleting,Class
1258,0.0001,Set
1260,0.0005,Vector
1260,0.0001,Set
1262,0.0005,Vector
1262,0.0001,Set
1264,0.0005,Vector
1264,0.0001,Set
1266,0.0005,Vector
1266,0.0001,Set
1268,0.0005,Vector
1268,0.0002,Set
1270,0.0005,Vector
1270,0.0001,Set
1272,0.0005,Vector
1272,0.0001,Set
1274,0.0005,Vector
1274,0.0001,Set
1276,0.0005,Vector
1276,0.0001,Set
1278,0.0005,Vector
1278,0.0001,Set
1280,0.0005,Vector
1280,0.0001,Set
1282,0.0005,Vector
1282,0.0001,Set
1284,0.0005,Vector
1284,0.0001,Set
1286,0.0005,Vector
1286,0.0002,Set
1288,0.0005,Vector
1288,0.0001,Set
1290,0.0005,Vector
1290,0.0001,Set
1292,0.0005,Vector
1292,0.0001,Set
1294,0.0005,Vector
1294,0.0001,Set
1296,0.0005,Vector
1296,0.0001,Set
1298,0.0005,Vector
1298,0.0001,Set
